                                      artist_name                                      | album_count 
 Billy Cobham                                                                          |           1
 Body Count                                                                            |           1
 Boston Symphony Orchestra & Seiji Ozawa                                               |           1
 Britten Sinfonia, Ivor Bolton & Lesley Garrett                                        |           1
 Bruce Dickinson                                                                       |           1
 Buddy Guy                                                                             |           1
 Cake                                                                                  |           1
 Calexico                                                                              |           1
 Charles Dutoit & L'Orchestre Symphonique de Montréal                                  |           1
 Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti                 |           1
 Chicago Symphony Orchestra & Fritz Reiner                                             |           1
 Chico Buarque                                                                         |           1
 Choir Of Westminster Abbey & Simon Preston                                            |           1
 Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker               |           1
 Chris Cornell                                                                         |           1
 Christopher O'Riley                                                                   |           1
 Cláudio Zoli                                                                          |           1
 C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu    |           1
 David Coverdale                                                                       |           1
 Def Leppard                                                                           |           1
 Dennis Chambers                                                                       |           1
 Dread Zeppelin                                                                        |           1
 Ed Motta                                                                              |           1
 Edo de Waart & San Francisco Symphony                                                 |           1
 Elis Regina                                                                           |           1
 Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra                                   |           1
 Emerson String Quartet                                                                |           1
 Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir    |           1
 Falamansa                                                                             |           1
 Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos                  |           1
 Frank Sinatra                                                                         |           1
 Frank Zappa & Captain Beefheart                                                       |           1
 Fretwork                                                                              |           1
 Funk Como Le Gusta                                                                    |           1
 Gene Krupa                                                                            |           1
 Gerald Moore                                                                          |           1
 Godsmack                                                                              |           1
 Gonzaguinha                                                                           |           1
 Göteborgs Symfoniker & Neeme Järvi                                                    |           1
 Gustav Mahler                                                                         |           1
 Habib Koité and Bamada                                                                |           1
 Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker                            |           1
 Heroes                                                                                |           1
 Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer          |           1
 House Of Pain                                                                         |           1
 Incognito                                                                             |           1
 Itzhak Perlman                                                                        |           1
 James Brown                                                                           |           1
 James Levine                                                                          |           1
 JET                                                                                   |           1
 Jimi Hendrix                                                                          |           1
 João Suplicy                                                                          |           1
 Joe Satriani                                                                          |           1
 Jorge Ben                                                                             |           1
 Jota Quest                                                                            |           1
 Judas Priest                                                                          |           1
 Julian Bream                                                                          |           1
 Karsh Kale                                                                            |           1
 Kent Nagano and Orchestre de l'Opéra de Lyon                                          |           1
 Lenny Kravitz                                                                         |           1
 Leonard Bernstein & New York Philharmonic                                             |           1
 Les Arts Florissants & William Christie                                               |           1
 London Symphony Orchestra & Sir Charles Mackerras                                     |           1
 Luciana Souza/Romero Lubambo                                                          |           1
 Luciano Pavarotti                                                                     |           1
 Marcos Valle                                                                          |           1
 Marillion                                                                             |           1
 Marisa Monte                                                                          |           1
 Martin Roscoe                                                                         |           1
 Marvin Gaye                                                                           |           1
 Maurizio Pollini                                                                      |           1
 Mela Tenenbaum, Pro Musica Prague & Richard Kapp                                      |           1
 Men At Work                                                                           |           1
 Michele Campanella                                                                    |           1
 Mônica Marianno                                                                       |           1
 Mötley Crüe                                                                           |           1
 Motörhead                                                                             |           1
 Nash Ensemble                                                                         |           1
 Nicolaus Esterhazy Sinfonia                                                           |           1
 Olodum                                                                                |           1
 O Rappa                                                                               |           1
 Orchestra of The Age of Enlightenment                                                 |           1
 Orchestre Révolutionnaire et Romantique & John Eliot Gardiner                         |           1
 Os Mutantes                                                                           |           1
 O Terço                                                                               |           1
 Otto Klemperer & Philharmonia Orchestra                                               |           1
 Page & Plant                                                                          |           1
 Passengers                                                                            |           1
 Paul D'Ianno                                                                          |           1
 Philharmonia Orchestra & Sir Neville Marriner                                         |           1
 Philip Glass Ensemble                                                                 |           1
 Pink Floyd                                                                            |           1
 Planet Hemp                                                                           |           1
 Raimundos                                                                             |           1
 Raul Seixas                                                                           |           1
 R.E.M. Feat. Kate Pearson                                                             |           1
 Richard Marlow & The Choir of Trinity College, Cambridge                              |           1
 Roger Norrington, London Classical Players                                            |           1
 Royal Philharmonic Orchestra & Sir Thomas Beecham                                     |           1
 Rush                                                                                  |           1
 Scholars Baroque Ensemble                                                             |           1
 Scorpions                                                                             |           1
 Sergei Prokofiev & Yuri Temirkanov                                                    |           1
 Sir Georg Solti, Sumi Jo & Wiener Philharmoniker                                      |           1
 Sir Georg Solti & Wiener Philharmoniker                                               |           1
 Soundgarden                                                                           |           1
 Stevie Ray Vaughan & Double Trouble                                                   |           1
 Stone Temple Pilots                                                                   |           1
 System Of A Down                                                                      |           1
 Temple of the Dog                                                                     |           1
 Terry Bozzio, Tony Levin & Steve Stevens                                              |           1
 The 12 Cellists of The Berlin Philharmonic                                            |           1
 The Clash                                                                             |           1
 The Doors                                                                             |           1
 The King's Singers                                                                    |           1
 The Police                                                                            |           1
 The Posies                                                                            |           1
 The Who                                                                               |           1
 Ton Koopman                                                                           |           1
 Toquinho & Vinícius                                                                   |           1
 UB40                                                                                  |           1
 Velvet Revolver                                                                       |           1
 Vinícius De Moraes                                                                    |           1
 Wilhelm Kempff                                                                        |           1
 Yehudi Menuhin                                                                        |           1
 Yo-Yo Ma                                                                              |           1
 Zeca Pagodinho                                                                        |           1
 Accept                                                                                |           2
 AC/DC                                                                                 |           2
 Amy Winehouse                                                                         |           2
 Antônio Carlos Jobim                                                                  |           2
 Battlestar Galactica                                                                  |           2
 Black Label Society                                                                   |           2
 Black Sabbath                                                                         |           2
 Caetano Veloso                                                                        |           2
 Cássia Eller                                                                          |           2
 Chico Science & Nação Zumbi                                                           |           2
 Cidade Negra                                                                          |           2
 Creedence Clearwater Revival                                                          |           2
 Djavan                                                                                |           2
 English Concert & Trevor Pinnock                                                      |           2
 Eric Clapton                                                                          |           2
 Green Day                                                                             |           2
 Kiss                                                                                  |           2
 Legião Urbana                                                                         |           2
 Lulu Santos                                                                           |           2
 Michael Tilson Thomas & San Francisco Symphony                                        |           2
 Milton Nascimento                                                                     |           2
 Nirvana                                                                               |           2
 Skank                                                                                 |           2
 Smashing Pumpkins                                                                     |           2
 Spyro Gyra                                                                            |           2
 The Black Crowes                                                                      |           2
 The Cult                                                                              |           2
 The Tea Party                                                                         |           2
 Tim Maia                                                                              |           2
 Titãs                                                                                 |           2
 Audioslave                                                                            |           3
 Berliner Philharmoniker & Herbert Von Karajan                                         |           3
 Eugene Ormandy                                                                        |           3
 Gilberto Gil                                                                          |           3
 Guns N' Roses                                                                         |           3
 Jamiroquai                                                                            |           3
 Miles Davis                                                                           |           3
 Os Paralamas Do Sucesso                                                               |           3
 Queen                                                                                 |           3
 Red Hot Chili Peppers                                                                 |           3
 R.E.M.                                                                                |           3
 Santana                                                                               |           3
 The Office                                                                            |           3
 The Rolling Stones                                                                    |           3
 Faith No More                                                                         |           4
 Foo Fighters                                                                          |           4
 Lost                                                                                  |           4
 Van Halen                                                                             |           4
 Various Artists                                                                       |           4
 Pearl Jam                                                                             |           5
 Ozzy Osbourne                                                                         |           6
 Metallica                                                                             |          10
 U2                                                                                    |          10
 Deep Purple                                                                           |          11
 Led Zeppelin                                                                          |          14
 Iron Maiden                                                                           |          21
(275 rows)

